date	close
1-Jan-70	102.844
1-Apr-70	99.608
1-Jul-70	99.928
1-Oct-70	100.472
1-Jan-71	99.456
1-Apr-71	97.828
1-Jul-71	97.436
1-Oct-71	97.244
1-Jan-72	101.392
1-Apr-72	103.696
1-Jul-72	97.444
1-Oct-72	100.020
1-Jan-73	103.012
1-Apr-73	103.352
1-Jul-73	99.648
1-Oct-73	102.152
1-Jan-74	105.360
1-Apr-74	108.696
1-Jul-74	109.444
1-Oct-74	113.296
1-Jan-75	113.896
1-Apr-75	113.784
1-Jul-75	118.744
1-Oct-75	121.460
1-Jan-76	121.544
1-Apr-76	122.764
1-Jul-76	123.864
1-Oct-76	126.972
1-Jan-77	129.936
1-Apr-77	132.928
1-Jul-77	133.656
1-Oct-77	134.860
1-Jan-78	137.364
1-Apr-78	141.936
1-Jul-78	144.364
1-Oct-78	148.428
1-Jan-79	151.052
1-Apr-79	155.960
1-Jul-79	158.444
1-Oct-79	165.684
1-Jan-80	173.280
1-Apr-80	177.612
1-Jul-80	180.332
1-Oct-80	192.628
1-Jan-81	198.912
1-Apr-81	208.072
1-Jul-81	212.148
1-Oct-81	225.612
1-Jan-82	230.120
1-Apr-82	239.324
1-Jul-82	245.784
1-Oct-82	255.908
1-Jan-83	259.304
1-Apr-83	267.140
1-Jul-83	271.740
1-Oct-83	279.200
1-Jan-84	286.172
1-Apr-84	292.636
1-Jul-84	294.008
1-Oct-84	305.824
1-Jan-85	310.912
1-Apr-85	320.452
1-Jul-85	333.820
1-Oct-85	338.656
1-Jan-86	335.108
1-Apr-86	347.768
1-Jul-86	362.016
1-Oct-86	351.860
1-Jan-87	358.712
1-Apr-87	369.264
1-Jul-87	376.088
1-Oct-87	375.708
1-Jan-88	376.276
1-Apr-88	378.492
1-Jul-88	377.568
1-Oct-88	386.120
1-Jan-89	379.204
1-Apr-89	389.452
1-Jul-89	394.752
1-Oct-89	391.148
1-Jan-90	399.848
1-Apr-90	402.504
1-Jul-90	398.544
1-Oct-90	410.140
1-Jan-91	417.276
1-Apr-91	417.532
1-Jul-91	411.948
1-Oct-91	401.052
1-Jan-92	400.204
1-Apr-92	402.836
1-Jul-92	411.144
1-Oct-92	404.688
1-Jan-93	389.648
1-Apr-93	388.392
1-Jul-93	390.040
1-Oct-93	392.188
1-Jan-94	373.284
1-Apr-94	379.200
1-Jul-94	392.532
1-Oct-94	376.248
1-Jan-95	377.624
1-Apr-95	380.596
1-Jul-95	376.468
1-Oct-95	369.508
1-Jan-96	375.300
1-Apr-96	380.916
1-Jul-96	376.032
1-Oct-96	373.944
1-Jan-97	363.768
1-Apr-97	374.392
1-Jul-97	372.076
1-Oct-97	375.500
1-Jan-98	355.484
1-Apr-98	368.688
1-Jul-98	373.792
1-Oct-98	372.844
1-Jan-99	370.028
1-Apr-99	375.944
1-Jul-99	387.536
1-Oct-99	397.356
1-Jan-00	380.684
1-Apr-00	397.424
1-Jul-00	393.484
1-Oct-00	395.216
1-Jan-01	403.416
1-Apr-01	410.292
1-Jul-01	416.528
1-Oct-01	420.668
1-Jan-02	438.688
1-Apr-02	450.052
1-Jul-02	459.508
1-Oct-02	479.128
1-Jan-03	490.184
1-Apr-03	526.796
1-Jul-03	522.704
1-Oct-03	539.852
1-Jan-04	554.836
1-Apr-04	564.688
1-Jul-04	585.576
1-Oct-04	575.820
1-Jan-05	596.772
1-Apr-05	605.028
1-Jul-05	623.376
1-Oct-05	607.840
1-Jan-06	633.452
1-Apr-06	641.436
1-Jul-06	638.748
1-Oct-06	655.924
1-Jan-07	654.504
1-Apr-07	672.604
1-Jul-07	690.680
1-Oct-07	697.116
1-Jan-08	719.744
1-Apr-08	741.220
1-Jul-08	776.644
1-Oct-08	778.900
1-Jan-09	760.232
1-Apr-09	785.416
1-Jul-09	802.808
1-Oct-09	804.648
1-Jan-10	811.924
1-Apr-10	829.336
1-Jul-10	846.324
1-Oct-10	843.480
1-Jan-11	823.384
1-Apr-11	844.880
1-Jul-11	851.464
1-Oct-11	828.024
1-Jan-12	826.410
1-Apr-12	818.771
1-Jul-12	821.489
1-Oct-12	804.606
1-Jan-13	779.630
1-Apr-13	769.963
1-Jul-13	759.295
1-Oct-13	759.041
1-Jan-14	748.820
1-Apr-14	747.421
1-Jul-14	753.563
1-Oct-14	732.749
1-Jan-15	731.705
1-Apr-15	735.008
1-Jul-15	726.766
1-Oct-15	732.801
1-Jan-16	728.919
1-Apr-16	726.872
1-Jul-16	732.291
1-Oct-16	727.597
1-Jan-17	730.237
1-Apr-17	741.350
1-Jul-17	746.658
